,CRSArrTime,DayOfWeek,DayofMonth,Dest,DestUTC,Distance,FlightDate,FltTime,Marketing_Airline_Network,Month,OrgUTC,Origin,Quarter,Tail_Number,TaxiIn,TaxiOut,WheelsOff,WheelsOn,Year,fltID,dtyRepTmUTC,dtyRelTmUTC
49,2305.0,5.0,28.0,DFW,2020-02-29 03:02:00+00:00,1389.0,2020-02-28,0 days 03:40:00,DL,2.0,2020-02-28 23:22:00+00:00,LGA,1.0,N119DU,9.0,17.0,1939.0,2153.0,2020.0,88819.0,2020-02-28 22:26:00+00:00,2020-02-29 03:47:00+00:00
50,2159.0,5.0,28.0,DSM,2020-02-29 02:16:00+00:00,1031.0,2020-02-28,0 days 02:53:00,DL,2.0,2020-02-28 23:23:00+00:00,LGA,1.0,N907XJ,6.0,25.0,1948.0,2110.0,2020.0,15728.0,2020-02-28 22:38:00+00:00,2020-02-29 01:52:00+00:00
51,2049.0,5.0,28.0,RDU,2020-02-29 01:07:00+00:00,416.0,2020-02-28,0 days 01:33:00,DL,2.0,2020-02-28 23:34:00+00:00,EWR,1.0,N605LR,6.0,17.0,1951.0,2101.0,2020.0,9514.0,2020-02-28 22:38:00+00:00,2020-02-29 01:52:00+00:00
52,2211.0,5.0,28.0,CMH,2020-02-29 01:39:00+00:00,640.0,2020-02-28,0 days 02:04:00,DL,2.0,2020-02-28 23:35:00+00:00,BOS,1.0,N868RW,3.0,24.0,1959.0,2136.0,2020.0,133322.0,2020-02-28 22:50:00+00:00,2020-02-29 02:08:00+00:00
53,2126.0,5.0,28.0,EWN,2020-02-29 01:23:00+00:00,433.0,2020-02-28,0 days 01:32:00,DL,2.0,2020-02-28 23:51:00+00:00,ATL,1.0,N8683B,5.0,23.0,2014.0,2118.0,2020.0,19438.0,2020-02-28 22:50:00+00:00,2020-02-29 02:08:00+00:00
54,2211.0,5.0,28.0,CMH,2020-02-29 01:37:00+00:00,479.0,2020-02-28,0 days 01:38:00,DL,2.0,2020-02-28 23:59:00+00:00,LGA,1.0,N245JQ,4.0,19.0,2018.0,2133.0,2020.0,133380.0,2020-02-28 23:14:00+00:00,2020-02-29 02:35:00+00:00
55,1924.0,5.0,28.0,CLT,2020-02-29 01:50:00+00:00,335.0,2020-02-28,0 days 01:43:00,DL,2.0,2020-02-29 00:07:00+00:00,CVG,1.0,N981EV,4.0,43.0,2050.0,2146.0,2020.0,8685.0,2020-02-28 23:14:00+00:00,2020-02-29 02:35:00+00:00
56,2047.0,5.0,28.0,CWA,2020-02-29 01:23:00+00:00,363.0,2020-02-28,0 days 01:16:00,DL,2.0,2020-02-29 00:07:00+00:00,DTW,1.0,N8946A,2.0,12.0,2019.0,2021.0,2020.0,287.0,2020-02-28 23:22:00+00:00,2020-02-29 03:11:00+00:00
57,2229.0,5.0,28.0,CHS,2020-02-29 02:26:00+00:00,641.0,2020-02-28,0 days 02:18:00,DL,2.0,2020-02-29 00:08:00+00:00,LGA,1.0,N239JQ,12.0,19.0,2027.0,2214.0,2020.0,133149.0,2020-02-28 23:22:00+00:00,2020-02-29 03:11:00+00:00
58,2116.0,5.0,28.0,FWA,2020-02-29 01:04:00+00:00,128.0,2020-02-28,0 days 00:56:00,DL,2.0,2020-02-29 00:08:00+00:00,DTW,1.0,N442SW,16.0,12.0,2020.0,2048.0,2020.0,37518.0,2020-02-28 23:23:00+00:00,2020-02-29 02:08:00+00:00
59,2148.0,5.0,28.0,AVP,2020-02-29 01:23:00+00:00,399.0,2020-02-28,0 days 01:14:00,DL,2.0,2020-02-29 00:09:00+00:00,DTW,1.0,N953SW,3.0,13.0,2022.0,2120.0,2020.0,36898.0,2020-02-28 23:23:00+00:00,2020-02-29 02:08:00+00:00
60,2145.0,5.0,28.0,ELP,2020-02-29 03:24:00+00:00,1282.0,2020-02-28,0 days 03:14:00,DL,2.0,2020-02-29 00:10:00+00:00,ATL,1.0,N915DN,3.0,20.0,2030.0,2121.0,2020.0,89315.0,2020-02-28 23:25:00+00:00,2020-02-29 03:06:00+00:00
61,2129.0,5.0,28.0,ATW,2020-02-29 02:21:00+00:00,765.0,2020-02-28,0 days 02:09:00,DL,2.0,2020-02-29 00:12:00+00:00,ATL,1.0,N717JL,6.0,15.0,2027.0,2115.0,2020.0,88088.0,2020-02-28 23:25:00+00:00,2020-02-29 03:06:00+00:00
62,2215.0,5.0,28.0,SBN,2020-02-29 02:04:00+00:00,566.0,2020-02-28,0 days 01:51:00,DL,2.0,2020-02-29 00:13:00+00:00,ATL,1.0,N498CA,7.0,17.0,2030.0,2157.0,2020.0,36721.0,2020-02-28 23:28:00+00:00,2020-02-29 02:38:00+00:00
63,2133.0,5.0,28.0,BHM,2020-02-29 01:53:00+00:00,625.0,2020-02-28,0 days 01:40:00,DL,2.0,2020-02-29 00:13:00+00:00,DTW,1.0,N379CA,4.0,14.0,2027.0,2049.0,2020.0,126481.0,2020-02-28 23:28:00+00:00,2020-02-29 02:38:00+00:00
64,2229.0,5.0,28.0,PDX,2020-02-29 05:13:00+00:00,1953.0,2020-02-28,0 days 04:58:00,DL,2.0,2020-02-29 00:15:00+00:00,DTW,1.0,N838DN,4.0,25.0,2040.0,2209.0,2020.0,90081.0,2020-02-28 23:30:00+00:00,2020-02-29 02:32:00+00:00
65,2207.0,5.0,28.0,HPN,2020-02-29 01:47:00+00:00,505.0,2020-02-28,0 days 01:32:00,DL,2.0,2020-02-29 00:15:00+00:00,DTW,1.0,N839SK,4.0,14.0,2029.0,2143.0,2020.0,37364.0,2020-02-28 23:30:00+00:00,2020-02-29 02:32:00+00:00
66,2245.0,5.0,28.0,IAH,2020-02-29 02:55:00+00:00,1075.0,2020-02-28,0 days 02:40:00,DL,2.0,2020-02-29 00:15:00+00:00,DTW,1.0,N817SK,3.0,16.0,2031.0,2152.0,2020.0,36673.0,2020-02-28 23:30:00+00:00,2020-02-29 03:12:00+00:00
67,2209.0,5.0,28.0,MKE,2020-02-29 02:27:00+00:00,738.0,2020-02-28,0 days 02:09:00,DL,2.0,2020-02-29 00:18:00+00:00,LGA,1.0,N264SY,5.0,16.0,2034.0,2122.0,2020.0,36679.0,2020-02-28 23:30:00+00:00,2020-02-29 03:12:00+00:00
68,2245.0,5.0,28.0,CLE,2020-02-29 02:19:00+00:00,563.0,2020-02-28,0 days 02:01:00,DL,2.0,2020-02-29 00:18:00+00:00,BOS,1.0,N874RW,9.0,22.0,2040.0,2210.0,2020.0,133330.0,2020-02-28 23:33:00+00:00,2020-02-29 02:48:00+00:00
69,2228.0,5.0,28.0,CLT,2020-02-29 02:03:00+00:00,544.0,2020-02-28,0 days 01:44:00,DL,2.0,2020-02-29 00:19:00+00:00,LGA,1.0,N218JQ,4.0,16.0,2035.0,2159.0,2020.0,133157.0,2020-02-28 23:33:00+00:00,2020-02-29 02:48:00+00:00
70,2110.0,5.0,28.0,EVV,2020-02-29 01:47:00+00:00,363.0,2020-02-28,0 days 01:24:00,DL,2.0,2020-02-29 00:23:00+00:00,DTW,1.0,N820AY,3.0,21.0,2044.0,2044.0,2020.0,10605.0,2020-02-28 23:38:00+00:00,2020-02-29 02:48:00+00:00
71,2226.0,5.0,28.0,RDU,2020-02-29 02:03:00+00:00,431.0,2020-02-28,0 days 01:39:00,DL,2.0,2020-02-29 00:24:00+00:00,LGA,1.0,N602LR,14.0,16.0,2040.0,2149.0,2020.0,427.0,2020-02-28 23:38:00+00:00,2020-02-29 02:48:00+00:00
72,2212.0,5.0,28.0,BUF,2020-02-29 01:58:00+00:00,395.0,2020-02-28,0 days 01:29:00,DL,2.0,2020-02-29 00:29:00+00:00,BOS,1.0,N922XJ,6.0,19.0,2048.0,2152.0,2020.0,5386.0,2020-02-28 23:44:00+00:00,2020-02-29 02:50:00+00:00
73,2238.0,5.0,28.0,CHA,2020-02-29 02:05:00+00:00,505.0,2020-02-28,0 days 01:33:00,DL,2.0,2020-02-29 00:32:00+00:00,DTW,1.0,N836AY,5.0,22.0,2054.0,2200.0,2020.0,15154.0,2020-02-28 23:44:00+00:00,2020-02-29 02:50:00+00:00
74,2150.0,5.0,28.0,ERI,2020-02-29 01:31:00+00:00,164.0,2020-02-28,0 days 00:55:00,DL,2.0,2020-02-29 00:36:00+00:00,DTW,1.0,N496CA,3.0,17.0,2053.0,2128.0,2020.0,36884.0,2020-02-28 23:51:00+00:00,2020-02-29 03:35:00+00:00
75,2315.0,5.0,28.0,IND,2020-02-29 02:50:00+00:00,660.0,2020-02-28,0 days 02:10:00,DL,2.0,2020-02-29 00:40:00+00:00,LGA,1.0,N204JQ,17.0,19.0,2059.0,2233.0,2020.0,133282.0,2020-02-28 23:51:00+00:00,2020-02-29 03:35:00+00:00
76,2210.0,5.0,28.0,XNA,2020-02-29 02:30:00+00:00,596.0,2020-02-28,0 days 01:47:00,DL,2.0,2020-02-29 00:43:00+00:00,MSP,1.0,N319PQ,4.0,34.0,2017.0,2126.0,2020.0,13621.0,2020-02-28 23:58:00+00:00,2020-02-29 03:34:00+00:00
77,2208.0,5.0,28.0,OMA,2020-02-29 02:49:00+00:00,651.0,2020-02-28,0 days 02:05:00,DL,2.0,2020-02-29 00:44:00+00:00,DTW,1.0,N831SK,17.0,14.0,2058.0,2132.0,2020.0,36960.0,2020-02-28 23:58:00+00:00,2020-02-29 03:34:00+00:00
78,2239.0,5.0,28.0,MSN,2020-02-29 03:04:00+00:00,812.0,2020-02-28,0 days 02:19:00,DL,2.0,2020-02-29 00:45:00+00:00,LGA,1.0,N391CA,4.0,18.0,2103.0,2200.0,2020.0,143.0,2020-02-29 00:00:00+00:00,2020-02-29 03:21:00+00:00
